Company Name,TIDM,Sector,Country of Incorporation,LSE Market
3I Group Plc,III,Financial Services ,United Kingdom,MAIN MARKET
3I Infrastructure Plc,3IN,Financial Services ,Jersey,MAIN MARKET
4Imprint Group Plc,FOUR,Media,United Kingdom,MAIN MARKET
888 Holdings Plc,888,Travel and Leisure,Gibraltar,MAIN MARKET
Aberforth Smaller Companies Trust Plc,ASL,Financial Services ,United Kingdom,MAIN MARKET
Aberforth Split Level Income Trust Plc,ASIT,Financial Services ,United Kingdom,MAIN MARKET
Aberforth Split Level Income Trust Plc,ASIZ,Financial Services ,United Kingdom,MAIN MARKET
Abrdn Asia Focus Plc,AAS,Financial Services ,United Kingdom,MAIN MARKET
Abrdn Asian Income Fund Limited,AAIF,Financial Services ,Jersey,MAIN MARKET
Abrdn China Investment Company Limited,ACIC,Financial Services ,Guernsey,MAIN MARKET
Abrdn Diversified Income And Growth Plc,ADIG,Financial Services ,United Kingdom,MAIN MARKET
Abrdn Equity Income Trust Plc,AEI,Financial Services ,United Kingdom,MAIN MARKET
Abrdn European Logistics Income Plc,ASLI,Real Estate ,United Kingdom,MAIN MARKET
Abrdn New India Investment Trust Plc,ANII,Financial Services ,United Kingdom,MAIN MARKET
Abrdn Plc,ABDN,Financial Services ,United Kingdom,MAIN MARKET
Abrdn Private Equity Opportunities Trust Plc,APEO,Financial Services ,United Kingdom,MAIN MARKET
Abrdn Property Income Trust Limited,API,Real Estate ,United Kingdom,MAIN MARKET
Abrdn Smaller Companies Income Trust Plc,ASCA,,United Kingdom,MAIN MARKET
Abrdn Smaller Companies Income Trust Plc,ASCB,,United Kingdom,MAIN MARKET
Abrdn Smaller Companies Income Trust Plc,ASCC,,United Kingdom,MAIN MARKET
Abrdn Uk Smaller Companies Growth Trust Plc,AUSC,Financial Services ,United Kingdom,MAIN MARKET
Acceler8 Ventures Plc,AC8,Financial Services ,Jersey,MAIN MARKET
Acg Acquisition Company Limited,ACG,Financial Services ,British Virgin Islands,MAIN MARKET
Acp Energy Plc,ACPE,Financial Services ,United Kingdom,MAIN MARKET
Adalan Ventures Plc,ZAIM,Financial Services ,United Kingdom,MAIN MARKET
Admiral Acquisition Limited,ADMR,Financial Services ,British Virgin Islands,MAIN MARKET
Admiral Group Plc,ADM,Insurance,United Kingdom,MAIN MARKET
Adriatic Metals Plc,ADT1,Basic Resources,United Kingdom,MAIN MARKET
Advancedadvt Limited,ADVT,Financial Services ,British Virgin Islands,MAIN MARKET
Aeci Ld,87FZ,Chemicals,South Africa,MAIN MARKET
Aew Uk Reit Plc,AEWU,Real Estate ,United Kingdom,MAIN MARKET
Afarak Group Se,AFRK,Basic Resources,Finland,MAIN MARKET
African Pioneer Plc,AFP,Basic Resources,Isle of Man,MAIN MARKET
Aib Group Plc,AIBG,Banks,Ireland,MAIN MARKET
Aiq Limited,AIQ,Financial Services ,Cayman Islands,MAIN MARKET
Air China Ld,AIRC,Travel and Leisure,China,MAIN MARKET
Airtel Africa Plc,AAF,Telecommunications,United Kingdom,MAIN MARKET
Aj Bell Plc,AJB,Financial Services ,United Kingdom,MAIN MARKET
Ajax Resources Plc,AJAX,Financial Services ,United Kingdom,MAIN MARKET
Albion Development Vct Plc,AADV,Financial Services ,United Kingdom,MAIN MARKET
